company,date,numTweets,avgSubj,avgPol,medianTime,sumRetweet,sumFavorite,sumFollowers,numVerified
@apple,2017-11-17,2710,0.3579983537936045,0.09079660358652014,2017-11-17 18:19:29,455846,1113157,14682667,101
@microsoft,2017-11-17,1120,0.3307506667439704,0.12908502616245354,2017-11-17 17:52:23,56662,215180,10058554,48
@ibm,2017-11-17,580,0.2538975437876303,0.09551681221077768,2017-11-17 17:30:00,31041,40561,3547405,25
@amazon,2017-11-17,4752,0.3199565828177483,0.11411549991738423,2017-11-17 17:31:57,169616,226781,71473741,109
@hp,2017-11-17,201,0.419590808583346,0.2651254460023116,2017-11-17 17:41:42,4962,32199,1076756,12
