company,date,avjSubj_std,avgPol_std,medianTime_std,numTweets_over_followers_std,sumRetweets_over_followers_std,sumFavorites_over_sumFollowers_std,sumFollowers_over_followers_std,numVerified_over_followers_std,categorical
@amazon,2017-11-24,0.091196639,-0.058554341,0.447168476,3.717341622,0.449858621,-0.13727296,4.494307125,3.248377061,UP
@amazon,2017-11-22,0.200965817,0.255504632,4.95078616,-0.884680501,-0.177534628,-0.184734012,-0.811991091,-1.279504093,UP
@amazon,2017-11-21,0.041738961,-0.108133253,-0.054168907,1.750628394,-0.224978312,-0.252268591,0.819871559,1.433051437,UP
@amazon,2017-11-20,-0.441629934,-0.133512126,0.337724547,1.361751322,-0.194074192,-0.257903074,0.972136085,0.786211272,DOWN
@amazon,2017-11-17,-0.219031368,-0.460725261,-0.057115474,1.666898881,-0.194777356,-0.23572663,2.648938501,0.807077084,DOWN
@amazon,2017-11-16,-0.082161062,-0.203765569,-0.262112373,1.495718543,-0.234149877,-0.249325114,3.345067099,1.161795884,UP
@amazon,2017-11-15,-0.42675703,-0.082995095,2.919759398,0.033863268,-0.251050568,-0.265807124,0.114070496,-0.194481881,DOWN
@amazon,2017-11-14,-0.223643178,-0.139368532,-0.231804823,1.433076463,-0.249201603,-0.257973017,1.140636164,1.286990755,UP
@amazon,2017-11-10,-0.252592994,-0.323876065,-0.190973819,2.037169394,-0.213649278,-0.23613451,0.552507454,0.848808708,DOWN
@amazon,2017-11-09,-0.330434253,-0.109197676,1.589173783,2.413021875,-0.205708636,-0.247304807,2.013724072,1.22439332,UP
@amazon,2017-11-08,-0.249836688,0.554218231,0.228280618,1.676822379,-0.151919455,-0.232821871,1.435520598,1.57911212,UP
@amazon,2017-11-07,-0.143177437,0.541283489,0.070849735,2.032827864,-0.162477227,-0.250676505,1.119657901,1.474783061,UP
@apple,2017-11-24,-0.085222492,-1.046228899,-0.572764756,-0.436008335,-0.107209981,-0.10188922,-0.5994916,-0.967372121,DOWN
@apple,2017-11-22,0.552279652,-0.345359915,1.774386586,0.190417492,-0.033093671,0.078113661,1.601841927,-0.56809972,UP
@apple,2017-11-21,-0.137510313,-0.892429339,0.048119073,0.293617793,0.232039038,0.128226487,-0.369839582,-0.481301371,UP
@apple,2017-11-20,0.784270056,-1.120663915,0.406337472,-0.129503441,-0.201778002,-0.207228017,-0.446868274,-0.411862693,DOWN
@apple,2017-11-17,0.426103774,-0.716550102,0.873578861,0.119209284,-0.110296838,-0.120848901,-0.355594131,0.265164423,DOWN
@apple,2017-11-16,0.44624009,-0.711969981,-0.276003333,0.030973027,-0.11128573,-0.14622714,-0.316895763,-0.377143354,DOWN
@apple,2017-11-15,1.786547992,-1.360830844,-0.467951147,0.846255404,3.270241658,1.564928411,-0.077295668,-0.255625666,DOWN
@apple,2017-11-13,0.451710569,-0.76133328,0.026230287,0.114565271,-0.1555125,-0.163541766,-0.454227533,-0.602819059,UP
@apple,2017-11-10,0.35045847,-1.419349402,-0.206548532,0.734799079,0.053335729,0.274313685,-0.418767787,0.108927396,DOWN
@apple,2017-11-09,0.494598614,-2.020517019,0.222808421,1.348324867,0.592659557,0.933513898,0.206546679,0.43876112,UP
@apple,2017-11-08,0.371628526,-1.587730805,0.02075809,1.428305101,-0.065580772,0.035090063,-0.041574407,0.699156164,UP
@apple,2017-11-07,0.670227232,-1.982307978,0.02075809,2.16567125,1.620147895,2.084104462,0.013305464,0.42140145,UP
@cisco,2017-11-24,-2.305556436,0.264096455,-0.55550629,-1.076063939,-0.284671244,-0.274175577,-0.882523897,-1.112109941,UP
@cisco,2017-11-22,0.803685748,1.573790217,0.432435639,-0.564119059,-0.264724053,-0.270820368,-0.815391148,-0.961689032,DOWN
