company,date,avjSubj_std,avgPol_std,medianTime_std,numTweets_over_revenue_std,sumRetweets_over_revenue_std,sumFavorites_over_revenue_std,sumFollowers_over_revenue_std,numVerified_over_revenue_std,stock_mvmt
@microsoft,43056,-0.086749908,-0.311891674,0.202591287,-0.699322168,-0.169653401,-0.183925456,-0.622843906,-0.62461169,DOWN
@microsoft,43055,-0.044891585,-0.403678609,-0.400619279,-0.656871181,-0.167382987,-0.188669504,-0.510375294,-0.57148226,DOWN
@microsoft,43054,0.116536578,-0.229551729,-0.506145477,-0.671825506,-0.170015406,-0.192005274,-0.419048574,-0.591916656,DOWN
@microsoft,43053,-0.053253016,-0.008047339,-0.629259374,-0.667162329,-0.169340844,-0.189773075,-0.476223286,-0.542874105,DOWN
@microsoft,43052,0.025536686,0.212465616,-0.196697031,-0.703824545,-0.169239043,-0.187568677,-0.290142075,-0.653219845,DOWN
@microsoft,43049,-0.235363724,-0.383416556,-0.580774365,-0.707683726,-0.16973592,-0.187304951,-0.500181504,-0.600090414,DOWN
@microsoft,43048,0.235704885,-0.30227719,-0.038883077,-0.662177554,-0.161701821,-0.165805241,-0.583652127,-0.620524811,DOWN
@microsoft,43047,-0.599368617,-0.239134683,-0.466691988,-0.462947356,-0.083554848,0.191492911,-0.606584786,-0.538787226,DOWN
@microsoft,43046,0.04423095,-0.420810318,-0.067403671,-0.576310786,-0.168420488,-0.166987066,-0.52227263,-0.56739538,DOWN
@microsoft,43045,0.087703355,-0.125549602,0.84525534,-0.67890067,-0.169678281,-0.177326402,-0.371768484,-0.489744675,DOWN
@oracle,43056,2.454703393,-5.222678955,-0.744292437,-0.15599887,-0.160701725,-0.191338051,-0.260919177,-0.331889701,DOWN
@oracle,43055,0.212853095,0.218744693,0.936045898,-0.456073829,-0.173452599,-0.196067814,-0.253662316,-0.331889701,DOWN
@oracle,43054,-0.729874618,0.170656981,-0.621653883,-0.42529691,-0.171979341,-0.195454423,-0.467484839,-0.42966814,DOWN
@oracle,43053,0.093224663,-0.061092706,-0.298895826,-0.134839738,-0.155875194,-0.192825956,-0.328827329,-0.331889701,DOWN
@oracle,43052,0.052067293,0.537805736,-1.394561983,-0.434914697,-0.167356188,-0.189243325,-0.625073865,-0.42966814,DOWN
@oracle,43049,-1.007014225,-0.135948626,-1.265268623,-0.540710355,-0.172517552,-0.19427034,-0.609010514,-0.38077892,DOWN
@xerox,43056,-1.064724594,0.989923008,-2.16556871,-0.462258806,-0.174117645,-0.197974096,-0.769269525,-0.473292366,DOWN
@xerox,43055,1.974980654,3.076820068,0.9921364,-0.325538262,-0.171442485,-0.197565547,-0.744332981,-0.820781894,DOWN
@xerox,43054,0.013428188,-0.587877505,-1.291887844,-0.469094833,-0.174368854,-0.197221199,-0.638188414,-0.64703713,DOWN
@xerox,43053,-2.147637088,-0.201067842,-1.759150244,-0.380226479,-0.174611249,-0.197565547,-0.593587498,-0.473292366,UP
@xerox,43052,0.214450649,1.31488606,-0.948690028,-0.674175648,-0.173319945,-0.195414832,-0.73982886,0.047941925,DOWN
@xerox,43049,-1.001705607,-0.603576115,0.445967023,-0.387062507,-0.173024664,-0.19441097,2.017634862,-0.473292366,UP
@xerox,43048,0.047845942,-0.355634633,1.615311381,-0.421242643,-0.17328028,-0.196640477,-0.363271992,0.395431453,DOWN
@xerox,43047,-0.958591402,0.477329948,1.586790787,-0.441750724,-0.173183322,-0.197337927,-0.76036014,-0.820781894,DOWN
@xerox,43046,0.111707631,1.507263697,2.870217521,-0.359718398,-0.171614366,-0.196558767,-0.75933734,-0.820781894,DOWN
@xerox,43045,-2.487015545,-0.650042873,-0.181486047,-0.592143322,-0.173650484,-0.196526667,-0.653942573,-0.473292366,DOWN
@google,43060,-0.149316725,-0.805123595,0.488272571,-0.68075311,-0.157557733,-0.164966576,-0.639239769,-0.648747571,DOWN
@google,43059,0.741026662,-1.302572977,0.227309135,-0.708173372,-0.071101646,-0.04160918,-0.681160631,-0.703166591,DOWN
@cisco,43060,-0.267491501,0.429000474,0.275794145,-0.202096647,-0.164174677,-0.186653505,-0.549368691,-0.171320636,DOWN
@cisco,43059,-0.378899187,-0.055523264,-1.583273247,-0.242555881,-0.170563893,-0.194192049,0.782690949,-0.008955322,DOWN
@intel,43060,-1.167255937,-0.64967261,-0.026524152,-0.766869602,-0.172055038,-0.192872091,-0.730963142,-0.735726926,DOWN
@intel,43059,-0.224881452,0.734845834,-0.110184562,-0.812047447,-0.164055781,-0.187686715,-0.736661177,-0.77825441,DOWN
@xerox,43060,0.325733998,0.397045593,1.97372018,-0.250341963,-0.172041862,-0.197133653,-0.704638463,-0.820781894,DOWN
@xerox,43059,-3.365289846,-1.022108613,-2.959867256,-0.537455104,-0.174342411,-0.197145326,-0.710474125,-0.125802839,DOWN
