company	date	avjSubj_std	avgPol_std	medianTime_std	numTweets_over_followers_std	sumRetweets_over_followers_std	sumFavorites_over_sumFollowers_std	sumFollowers_over_followers_std	numVerified_over_followers_std	change_std
@IBM	2017-11-13	-1.137423152	-0.377631462	-1.724293573	-0.375903964	-0.257112896	-0.347523227	-0.232625547	-0.251958439	-0.786682758
@IBM	2017-11-10	0.410207862	-0.329400079	-0.70941408	-0.149212331	-0.262520845	-0.374306103	-0.542638558	-0.3478166	-1.249064172
@IBM	2017-11-09	-0.86424266	-0.482083278	1.245501287	-0.695555475	-0.277533542	-0.399330101	-0.579732984	-1.30639821	-0.013100299
@IBM	2017-11-08	-0.899951049	0.231660893	0.366837183	-0.361226088	-0.212751707	-0.301025329	-0.29464749	1.042126733	-1.078846143
@IBM	2017-11-07	-1.400357783	-0.423575689	-0.612117373	-0.460709467	-0.278968869	-0.369587567	-0.628218442	-0.012313037	-0.696065947
@intel	2017-11-17	-0.016908101	-0.253654485	0.130830299	-0.76354102	-0.046796117	0.597267992	-0.835835082	-1.169312551	-2.425702175
@intel	2017-11-16	0.119143739	-0.259838823	-0.889537726	-0.715184852	-0.06405587	0.492275524	0.11935486	-1.055623075	0.103972188
@intel	2017-11-15	-0.986553905	-0.288116907	0.650743983	-0.397968394	0.012203337	0.800401681	0.049742888	-0.316641477	0.246741998
@intel	2017-11-14	-0.310386008	-0.0921035	0.267045689	-0.779014994	-0.070127947	0.154834367	-0.77834647	-1.112467813	0.500095556
@intel	2017-11-13	1.331190963	1.525853813	0.749537562	-0.922149249	-0.24995258	-0.295502879	-0.819214348	-1.169312551	1.447500898
@intel	2017-11-10	-0.340566579	-0.00242006	-0.002890302	-0.93955747	-0.278303326	-0.364768737	-0.531790258	-0.941933598	-1.244935723
@intel	2017-11-09	1.118037421	0.149486139	0.595858661	-0.690039645	-0.255247735	-0.31421251	0.495901117	0.820253288	0.749424667
@intel	2017-11-08	2.377559793	1.183808888	0.865295695	-0.602998544	-0.205683566	-0.348151069	0.42285937	0.308650644	0.269221831
@intel	2017-11-07	2.630840471	2.365881168	1.793356589	0.234530277	-0.005120296	-0.156275811	0.232987389	2.184527006	0.268841637
@intel	2017-11-06	-0.649673053	-0.295586365	0.476108869	-0.641683478	-0.262043212	-0.293282076	-0.381686412	-0.032417786	0.324825379
@microsoft	2017-11-17	-0.146820329	-0.333106655	0.190705196	-0.153404899	-0.24954575	-0.302139856	-0.174259724	0.057957425	-1.321991962
@microsoft	2017-11-16	-0.103376421	-0.42313202	-0.442471833	0.182659311	-0.224660884	-0.346874721	0.41164498	0.544297543	-0.201735266
@microsoft	2017-11-15	0.064166608	-0.252346973	-0.553240392	0.064273055	-0.253513512	-0.378329974	0.887411093	0.357243652	-1.161303338
@microsoft	2017-11-14	-0.112054582	-0.035093682	-0.682470376	0.1011892	-0.246119976	-0.357281053	0.589559701	0.806172991	-0.758151443
@microsoft	2017-11-13	-0.030280342	0.181187201	-0.228419079	-0.189048073	-0.245004185	-0.33649428	1.558948891	-0.203918023	-0.261906464
@microsoft	2017-11-10	-0.301063606	-0.403258835	-0.631576714	-0.219599365	-0.2504502	-0.334007427	0.464749478	0.282422095	0.170768162
@microsoft	2017-11-09	0.187848985	-0.323676691	-0.062765199	0.140651285	-0.162392475	-0.131271988	0.029909662	0.095368203	0.016530285
@microsoft	2017-11-08	-0.678856931	-0.261746012	-0.511826922	1.717861726	0.69413732	3.237936101	-0.089557917	0.84358377	0.692879553
@microsoft	2017-11-07	-0.010877944	-0.439934938	-0.092702647	0.820417528	-0.236032408	-0.14241622	0.349665861	0.581708321	-0.715570466
@microsoft	2017-11-06	0.034241188	-0.150340849	0.865295695	0.008262354	-0.249818448	-0.239912877	1.133716499	1.292513109	0.462013934
@oracle	2017-11-17	2.490902704	-5.149646393	-0.803218084	-0.299444558	-0.276599977	-0.422822441	-0.479469574	-0.738537469	-0.111084666
@oracle	2017-11-16	0.164131574	0.18734577	0.960596572	-0.8298505	-0.307804274	-0.432780636	-0.471028678	-0.738537469	0.284304662
@oracle	2017-11-15	-0.814306473	0.140180954	-0.674487057	-0.775449891	-0.304198876	-0.431489182	-0.719738678	-0.938381962	-0.11147346
@oracle	2017-11-14	0.039971642	-0.087121006	-0.335694935	-0.262044139	-0.264788352	-0.425955123	-0.558457683	-0.738537469	-0.267398166
@oracle	2017-11-13	-0.002744761	0.500283412	-1.485791903	-0.792450081	-0.292884966	-0.418412137	-0.903040072	-0.938381962	0.837514017
@oracle	2017-11-10	-1.101944071	-0.160540296	-1.350075471	-0.979452176	-0.305516	-0.428996176	-0.88435581	-0.838459716	0.891916254
@xerox	2017-11-17	-1.161840497	0.943723676	-2.295100919	-0.814781128	-0.309320694	-0.436772074	-1.069407016	-1.002489066	0.781095697
@xerox	2017-11-16	1.993008166	2.990569129	1.019473553	-0.564591701	-0.30254302	-0.435881559	-1.039378587	-1.737759934	-0.135520805
@xerox	2017-11-15	-0.042847507	-0.603795782	-1.378017089	-0.8272906	-0.309957148	-0.435130981	-0.911559968	-1.3701245	1.158642261
@xerox	2017-11-14	-2.285773496	-0.224409747	-1.868492282	-0.664667472	-0.31057127	-0.435881559	-0.857851827	-1.002489066	-0.274328997
@xerox	2017-11-13	0.165789643	1.262450055	-1.017769796	-1.20257474	-0.307299674	-0.431193632	-1.033954752	0.100417235	-3.827401582
@xerox	2017-11-10	-1.096434363	-0.619193105	0.44617142	-0.677176943	-0.306551562	-0.429005509	2.28656567	-1.002489066	-0.085593835
@xerox	2017-11-09	-0.007126016	-0.376010102	1.673606796	-0.7397243	-0.307199181	-0.433865178	-0.580507348	0.835688103	0.892315625
@xerox	2017-11-08	-1.051687002	0.440968272	1.643669348	-0.777252714	-0.306953533	-0.435385414	-1.058678391	-1.737759934	3.57581754
@xerox	2017-11-07	0.05915474	1.451135592	2.990854516	-0.627139058	-0.302978488	-0.433687075	-1.057446741	-1.737759934	-2.393823892
@xerox	2017-11-06	-2.63800754	-0.664768076	-0.21245244	-1.052461084	-0.308137113	-0.433617106	-0.930531027	-1.002489066	0.314687751
