mean,,,0.323645403,0.141890176,,,,,,0.737502371,0.395407256,223.3080391,385.1025873,2622.90161,0.012131537,,,,,,,,,,,0.000519094,,
sd,,,0.074244721,0.083020674,,,,,,0.026027237,0.572662541,1212.731644,1834.847816,3350.783128,0.013444072,,,,,,,,,,,0.008147176,,
company,date,numTweets,avgSubj,avgPol,medianDate,sumRetweet,sumFavorite,sumFollowers,numVerified,medianTime,numTweets_over_followers,sumRetweets_over_followers,sumFavorites_over_sumFollowers,sumFollowers_over_followers,numVerified_over_followers,avjSubj_std,avgPol_std,medianTime_std,numTweets_over_followers_std,sumRetweets_over_followers_std,sumFavorites_over_sumFollowers_std,sumFollowers_over_followers_std,numVerified_over_followers_std,open,close,change,categorical,change_std
@oracle,2017-11-12,129,0.146969417,0.068269489,2017-11-12 16:28,28625,53153,1126288,2,0.686111111,0.186147186,41.30591631,76.6998557,1625.235209,0.002886003,-2.379643737,-0.886775351,-1.974518444,-0.365416026,-0.150076172,-0.168080823,-0.297741263,-0.687703441,N/A,N/A,N/A,N/A,N/A
@oracle,2017-11-11,279,0.082557513,0.033364406,2017-11-11 17:50,79235,147363,1164567,13,0.743055556,0.402597403,114.3362193,212.6450216,1680.471861,0.018759019,-3.247205808,-1.307213797,0.213360525,0.012555644,-0.089856499,-0.09399012,-0.281256564,0.492966834,N/A,N/A,N/A,N/A,N/A
@oracle,2017-11-10,176,0.271843865,0.141242662,2017-11-10 17:00,2328,4873,903368,9,0.708333333,0.253968254,3.359307359,7.031746032,1303.561328,0.012987013,-0.69771341,-0.007799431,-1.120712017,-0.246984903,-0.181366366,-0.206050245,-0.393740876,0.063632188,49,49.32,0.006530612,UP,0.737865293
@microsoft,2017-11-12,436,0.343027031,0.126860208,2017-11-12 17:37,18030,47139,2382266,11,0.734027778,0.052593486,2.17490953,5.686248492,287.3662244,0.0013269,0.261050592,-0.181038859,-0.133498336,-0.598631385,-0.182343003,-0.206783547,-0.697011802,-0.803672996,N/A,N/A,N/A,N/A,N/A
@microsoft,2017-11-11,589,0.353411599,0.16138899,2017-11-11 16:59,26334,91877,2926112,27,0.707638889,0.071049457,3.176598311,11.08287093,352.9688782,0.003256936,0.400920038,0.234866968,-1.147393468,-0.566403031,-0.181517025,-0.203842364,-0.677433497,-0.660112605,N/A,N/A,N/A,N/A,N/A
@microsoft,2017-11-10,1067,0.318429238,0.123030835,2017-11-10 17:24,54681,159766,16890622,54,0.725,0.128709288,6.5960193,19.2721351,2037.469481,0.006513872,-0.07025637,-0.227164394,-0.480357197,-0.465715755,-0.178697423,-0.19937918,-0.174715016,-0.417854446,83.79,83.87,0.000954768,UP,0.053475496
@microsoft,2017-11-09,1350,0.346868158,0.129002098,2017-11-09 17:43,132180,472977,12224187,49,0.738194444,0.162846803,15.94451146,57.05392039,1474.570205,0.005910736,0.312786621,-0.155239382,0.026590369,-0.406103832,-0.170988799,-0.178787943,-0.34270538,-0.462717068,84.11,84.09,-0.000237784,DOWN,-0.092900582
@microsoft,2017-11-08,2589,0.29645387,0.133648924,2017-11-08 17:28,886006,5678150,10942134,69,0.727777778,0.312303981,106.8764777,684.9396864,1319.919662,0.008323281,-0.366241965,-0.099267468,-0.373631393,-0.145117358,-0.096007688,0.163412517,-0.388858932,-0.28326658,84.14,84.56,0.004991681,UP,0.548973873
@microsoft,2017-11-07,1884,0.33530867,0.120278928,2017-11-07 17:42,67370,455760,15655615,62,0.7375,0.227261761,8.126658625,54.97708082,1888.493969,0.00747889,0.157092212,-0.260311644,-9.10812E-05,-0.293620558,-0.177435281,-0.17991983,-0.219174925,-0.346074251,84.77,84.27,-0.005898313,DOWN,-0.78768476
@microsoft,2017-11-06,1246,0.337933146,0.142007954,2017-11-06 18:14,55237,305135,24069567,81,0.759722222,0.150301568,6.663088058,36.80759952,2903.445959,0.009770808,0.192441203,0.001418658,0.853715346,-0.428010687,-0.178642119,-0.189822276,0.083725009,-0.175596287,84.2,84.47,0.003206651,UP,0.329875915
@google,2017-11-12,1154,0.266585324,0.089615148,2017-11-12 17:35,621286,1879527,5276634,44,0.732638889,0.059792746,32.19098446,97.38481865,273.4007254,0.002279793,-0.768540547,-0.629662778,-0.186861237,-0.586059827,-0.157592206,-0.156807429,-0.701179633,-0.732794702,N/A,N/A,N/A,N/A,N/A
@google,2017-11-11,1741,0.292561856,0.149620779,2017-11-11 17:36,634177,1717773,18651373,51,0.733333333,0.090207254,32.85891192,89.00378238,966.3923834,0.002642487,-0.418663389,0.093116601,-0.160179787,-0.532949128,-0.157041443,-0.16137513,-0.494364799,-0.705816692,N/A,N/A,N/A,N/A,N/A
@google,2017-11-10,2410,0.320259057,0.204810433,2017-11-10 17:00,728970,1882366,14133192,99,0.708333333,0.124870466,37.77046632,97.5319171,732.2897409,0.005129534,-0.04561059,0.75788661,-1.120712017,-0.472419218,-0.15299145,-0.15672726,-0.564229852,-0.520824624,1043.87,1044.15,0.000268233,UP,-0.030791151
@google,2017-11-09,2731,0.279319951,0.118267686,2017-11-09 17:55,528803,1260719,22383865,107,0.746527778,0.141502591,27.39911917,65.32222798,1159.785751,0.005544041,-0.597018224,-0.284537441,0.34676778,-0.443375718,-0.161543505,-0.17428168,-0.436648927,-0.489992613,1048,1047.72,-0.000267176,DOWN,-0.096508178
